Regione;Età;Totale Maschi;Totale Femmine
Lombardia;19;49219;45736
Lombardia;20;50713;46379
Lombardia;21;50487;45813
Lombardia;22;51607;45757
Lombardia;23;50811;45990
Lombardia;24;50375;46107
Lombardia;25;49721;46135
Lombardia;26;50045;47042
Lombardia;27;50757;48418
Lombardia;28;52806;50148
Lombardia;29;53054;51044
Lombardia;30;54530;52612
Lombardia;31;54620;53471
Lombardia;32;56523;54555
Lombardia;33;55303;54040
Lombardia;34;55831;54536
Lombardia;35;57477;56506
Lombardia;36;59034;57591
Lombardia;37;60224;59329
Lombardia;38;62654;61411
Lombardia;39;63143;61796
Lombardia;40;64201;63101
Lombardia;41;65912;64666
Lombardia;42;69787;68080
Lombardia;43;72740;70978
Lombardia;44;75508;73658
Lombardia;45;80172;78601
Lombardia;46;82945;80678
Lombardia;47;82338;81168
Lombardia;48;83361;81445
Lombardia;49;83744;81232
Lombardia;50;82689;80853
Lombardia;51;84265;83240
Lombardia;52;84033;82542
Lombardia;53;83200;82753
Lombardia;54;84902;83978
Lombardia;55;83797;83563
Lombardia;56;83138;82893
Lombardia;57;76789;78156
Lombardia;58;72407;74458
Lombardia;59;69966;72318
Lombardia;60;67169;69873
Lombardia;61;64625;68282
Lombardia;62;61527;64908
Lombardia;63;59900;63696
Lombardia;64;58667;62490
Lombardia;65;55969;61398
Lombardia;66;54862;59734
Lombardia;67;52826;57561
Lombardia;68;51935;57600
Lombardia;69;50822;57213
Lombardia;70;52690;59076
Lombardia;71;52760;59518
Lombardia;72;53800;61600
Lombardia;73;51550;59539
Lombardia;74;52048;61002
Lombardia;75;37718;44800
Lombardia;76;39098;47971
Lombardia;77;37598;47188
Lombardia;78;37310;47710
Lombardia;79;36721;48414
Lombardia;80;38899;51406
Lombardia;81;36452;49385
Lombardia;82;33403;47106
Lombardia;83;28112;41304
Lombardia;84;23665;36510
Lombardia;85;22127;36044
Lombardia;86;18522;32374
Lombardia;87;15732;29310
Lombardia;88;13391;26603
Lombardia;89;11140;23582
Lombardia;90;9094;21285
Lombardia;91;6750;17346
Lombardia;92;5084;14199
Lombardia;93;3856;11557
Lombardia;94;2661;8992
Lombardia;95;1814;6958
Lombardia;96;1205;5189
Lombardia;97;818;3770
Lombardia;98;506;2615
Lombardia;99;303;1828
Lombardia;100;319;2284
Lombardia;Totale;4882206;5084786
Trentino-Alto Adige/Südtirol;0;4745;4474
Trentino-Alto Adige/Südtirol;1;4936;4571
Trentino-Alto Adige/Südtirol;2;5033;4733
Trentino-Alto Adige/Südtirol;3;5144;4883
Trentino-Alto Adige/Südtirol;4;5269;5032
Trentino-Alto Adige/Südtirol;5;5339;5063
Trentino-Alto Adige/Südtirol;6;5477;5172
Trentino-Alto Adige/Südtirol;7;5495;5147
Trentino-Alto Adige/Südtirol;8;5609;5276
Trentino-Alto Adige/Südtirol;9;5572;5337
Trentino-Alto Adige/Südtirol;10;5749;5348
Trentino-Alto Adige/Südtirol;11;5683;5300
Trentino-Alto Adige/Südtirol;12;5803;5502
Trentino-Alto Adige/Südtirol;13;5809;5353
Trentino-Alto Adige/Südtirol;14;5819;5459
Trentino-Alto Adige/Südtirol;15;5972;5423
Trentino-Alto Adige/Südtirol;16;5982;5598
Trentino-Alto Adige/Südtirol;17;5892;5415
Trentino-Alto Adige/Südtirol;18;5810;5404
Trentino-Alto Adige/Südtirol;19;6068;5499
Trentino-Alto Adige/Südtirol;20;6083;5766
Trentino-Alto Adige/Südtirol;21;6122;5738
Trentino-Alto Adige/Südtirol;22;6199;5856
Trentino-Alto Adige/Südtirol;23;6274;5752
Trentino-Alto Adige/Südtirol;24;6189;5830
Trentino-Alto Adige/Südtirol;25;6126;5605
Trentino-Alto Adige/Südtirol;26;6111;5821
Trentino-Alto Adige/Südtirol;27;6031;5746
Trentino-Alto Adige/Südtirol;28;6258;5938
Trentino-Alto Adige/Südtirol;29;6271;5944
Trentino-Alto Adige/Südtirol;30;6320;5946
Trentino-Alto Adige/Südtirol;31;6170;5944
Trentino-Alto Adige/Südtirol;32;6214;5997
Trentino-Alto Adige/Südtirol;33;6056;5944
Trentino-Alto Adige/Südtirol;34;6101;5881
Trentino-Alto Adige/Südtirol;35;6233;6018
Trentino-Alto Adige/Südtirol;36;6296;6031
Trentino-Alto Adige/Südtirol;37;6422;6283
Trentino-Alto Adige/Südtirol;38;6624;6483
Trentino-Alto Adige/Südtirol;39;6579;6450
Trentino-Alto Adige/Südtirol;40;6606;6568
Trentino-Alto Adige/Südtirol;41;6544;6685
Trentino-Alto Adige/Südtirol;42;6928;6981
Trentino-Alto Adige/Südtirol;43;6992;7025
Trentino-Alto Adige/Südtirol;44;7172;7384
Trentino-Alto Adige/Südtirol;45;7549;7784
Trentino-Alto Adige/Südtirol;46;8150;8112
Trentino-Alto Adige/Südtirol;47;8032;8227
Trentino-Alto Adige/Südtirol;48;8256;8278
Trentino-Alto Adige/Südtirol;49;8489;8566
Trentino-Alto Adige/Südtirol;50;8337;8447
Trentino-Alto Adige/Südtirol;51;8949;8658
